Target article,Authors,Savage et al. support (rated by Savage),Mehr et al. support (rated by Savage),Savage et al. support (Loui),Mehr et al. support (Loui),content,mentioned
Savage et al,"del Mastro, Strollo & El Maj",1,0,1,0,"Empirical tests, extensions, and applications",0
Savage et al,Wang & Zou,1,0,1,0,"Empirical tests, extensions, and applications",0
Savage et al,Margulis,0.8,0,1,-0.5,Defining music and musicality,0
Savage et al,Gabriel & Paravati,0.8,-0.7,1,-1,"Empirical tests, extensions, and applications",0
Savage et al,"Popescu, Oesch & Buck",0.7,-0.7,1,-1,Social bonding vs. Credible signaling,1
Savage et al,"Rendell, Doolittle, Garland & South",0.7,-1,1,-1,Social bonding vs. Credible signaling,1
Savage et al,Morrison,0.7,0.7,1,1,"Empirical tests, extensions, and applications",0
Savage et al,Ravignani,0.7,0.3,0.9,0,"Empirical tests, extensions, and applications",0
Savage et al,Eirdosh & Hanisch,0.7,0,0.8,0,"Empirical tests, extensions, and applications",1
Savage et al,Hattori,0.5,-0.3,1,-0.5,"Empirical tests, extensions, and applications",0
Savage et al,Belfi,0.6,0,0.9,0,"Empirical tests, extensions, and applications",0
Savage et al,Juslin,0.7,0,0.8,0,"Empirical tests, extensions, and applications",0
Savage et al,"Grahn, Bauer & Zamm",0.5,0,1,0,"Empirical tests, extensions, and applications",0
Savage et al,Benítez-Burraco,0.7,0.7,0.8,0.8,"Empirical tests, extensions, and applications",0
Savage et al,"Sachs, FeldmanHall & Tamir",0.5,0,0.9,0,"Empirical tests, extensions, and applications",0
Savage et al,Ashley,0.3,0,1,0,"Byproducts, adaptations, and exaptations",0
Savage et al,Brown,0.7,0,0.5,0,"Empirical tests, extensions, and applications",0
Savage et al,Hansen & Keller,0.7,0.2,0.5,-0.3,"Empirical tests, extensions, and applications",0
Savage et al,Pfordresher,0.3,0,0.8,0,"Empirical tests, extensions, and applications",0
Savage et al,Dissanayake,0.3,0.3,0.8,0.3,"Byproducts, adaptations, and exaptations",0
Savage et al,van Mulukom,0.3,0,0.5,0.5,"Byproducts, adaptations, and exaptations",0
Savage et al,Gingras,0.3,0.7,0.5,0.5,Social bonding vs. Credible signaling,0
Savage et al,Fritz,0.2,0,0.3,0,"Empirical tests, extensions, and applications",0
Savage et al,Zhang & Shi,-0.7,0,0.3,0,"Byproducts, adaptations, and exaptations",0
Savage et al,Honing,-0.3,-0.3,-0.5,-0.5,Defining music and musicality,1
Savage et al,"Wald-Fuhrmann, Pearson, Roeske, Grüny & Polak",-0.3,-0.7,-0.5,-1,Defining music and musicality,1
Savage et al,Cross,-0.3,-1,-0.5,-1,Defining music and musicality,1
Savage et al,"Hannon, Crittenden, Snyder & Nave",-0.3,-0.3,-0.5,-0.5,"Empirical tests, extensions, and applications",0
Savage et al,Iyer,-0.3,-0.3,-0.5,-0.5,Defining music and musicality,0
Savage et al,Kraus & Hesselmann,-0.7,0,-0.3,0,"Byproducts, adaptations, and exaptations",1
Savage et al,Atzil & Abramson,-0.7,0,-0.5,0,"Byproducts, adaptations, and exaptations",1
Savage et al,Patel & von Reuden,-0.3,-0.3,-1,-0.5,"Empirical tests, extensions, and applications",1
Savage et al,Harrison & Seale,-0.7,-0.7,-1,-1,"Byproducts, adaptations, and exaptations",1
Savage et al,Merker,-0.7,0.7,-1,1,"Byproducts, adaptations, and exaptations",1
Savage et al,Verpooten & Eens,-1,0.5,-1,0.3,"Empirical tests, extensions, and applications",1
Mehr et al,"Akkermann, Akkaya, Dermiel, Pflüger & Dresler",0.7,0.7,1,1,"Empirical tests, extensions, and applications",0
Mehr et al,"Lumaca, Brattico & Baggio",0,0.7,0,0.8,"Empirical tests, extensions, and applications",0
Mehr et al,"Dubourg, André & Baumard",0.6,0.6,0.5,0.5,Social bonding vs. Credible signaling,0
Mehr et al,"Hilton, Asano & Boeckx",0,0.4,0,0.5,"Byproducts, adaptations, and exaptations",0
Mehr et al,Snyder & Creanza,0.3,0.3,0.5,0.5,"Empirical tests, extensions, and applications",0
Mehr et al,"Kasdan, Gordon & Lense",0.7,0.3,1,0.5,"Empirical tests, extensions, and applications",0
Mehr et al,Levitin,0.3,0.3,0.5,0.5,"Empirical tests, extensions, and applications",0
Mehr et al,Kennedy & Radford,-0.7,0.3,-1,0.5,Social bonding vs. Credible signaling,1
Mehr et al,Trevor & Frühholz,0,0.7,0,0,"Empirical tests, extensions, and applications",0
Mehr et al,Sievers & Wheatley,0.2,0.2,0.5,0.5,Social bonding vs. Credible signaling,0
Mehr et al,Zentner,-0.7,0.3,0.3,0.3,Social bonding vs. Credible signaling,0
Mehr et al,"Moser, Ackerman, Dayer, Proksch & Smaldino",0.4,0.4,-0.3,-0.3,"Empirical tests, extensions, and applications",0
Mehr et al,Gardiner,0.3,0,0.8,0,"Empirical tests, extensions, and applications",0
Mehr et al,Pinker,-1,-0.3,0,-0.5,"Byproducts, adaptations, and exaptations",0
Mehr et al,Trainor,-0.6,-0.6,-0.5,-0.3,"Byproducts, adaptations, and exaptations",1
Mehr et al,"Scott-Phillips, Tominaga & Miton",-0.2,-0.7,0.3,-0.5,"Empirical tests, extensions, and applications",0
Mehr et al,Számadó,-0.7,-0.7,-0.5,-0.5,"Byproducts, adaptations, and exaptations",0
Mehr et al,Stewart-Williams,-0.7,-0.7,-0.8,-0.8,"Byproducts, adaptations, and exaptations",1
Mehr et al,"Tichko, Bird & Parker",0,-0.7,-0.5,-1,"Byproducts, adaptations, and exaptations",0
Mehr et al,"Bowling, Hoeschele & Dunn",0.4,-0.8,0.5,-1,Social bonding vs. Credible signaling,1
Mehr et al,Levaida,0,-0.8,0,-1,"Byproducts, adaptations, and exaptations",0
Mehr et al,Trehub,0.5,-0.8,1,-1,Defining music and musicality,0
Mehr et al,Wood,0.8,-0.8,1,-1,Social bonding vs. Credible signaling,1
Mehr et al,Lieberman & Billingsley,0,-1,0,-1,"Byproducts, adaptations, and exaptations",0
Mehr et al,"Killin, Brusse, Currie & Planer",0.9,-1,1,-1,"Byproducts, adaptations, and exaptations",1